                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11981,                 0.1752,               0.017009,               0.065991,              0.0016534,                0.30893,              0.0013945,             0.00041198,             0.00039505,               0.058929,             0.00025961,             3.9642e-05,                0.12116,                0.15364,              0.0088987,               0.056824,                 0.0982,                 0.0002,                 0.0002
                      1,                0.12082,                0.16998,               0.016521,               0.065816,              0.0016849,                0.29504,              0.0014894,             0.00042996,             0.00043091,               0.064881,             0.00029445,             5.4158e-05,                0.12058,                0.12818,              0.0089207,               0.056866,                 0.0955,             0.00049951,             0.00049951
                      2,                0.11993,                0.13926,               0.016896,               0.063756,              0.0014945,                0.30357,              0.0013532,             0.00036161,             0.00061728,                0.17341,             0.00048466,             9.3916e-05,                0.11846,               0.085919,              0.0092325,               0.056706,               0.092798,             0.00079842,             0.00079842
                      3,                 0.1165,                0.10211,               0.017854,               0.061944,              0.0014412,                0.25893,              0.0013615,             0.00038917,               0.001232,                0.27242,              0.0012551,             0.00025637,                0.11252,               0.060586,              0.0097713,               0.056621,               0.090097,              0.0010967,              0.0010967
                      4,                0.11036,                0.09737,               0.019315,               0.064147,              0.0027208,                0.52758,              0.0033206,             0.00077916,              0.0028213,                0.61528,              0.0040778,             0.00098993,                0.09808,               0.044471,               0.010719,               0.056364,               0.087394,              0.0013945,              0.0013945
                      5,               0.098458,                0.06487,               0.023315,               0.060913,               0.003609,                0.75595,              0.0086306,              0.0022983,              0.0037334,                0.79603,               0.011271,              0.0046489,               0.086149,               0.033671,               0.010944,               0.055681,               0.084692,              0.0016916,              0.0016916
                      6,               0.092308,               0.050614,               0.023084,               0.059848,               0.040189,               0.041071,               0.040681,               0.012304,               0.040189,               0.041071,               0.043659,               0.025474,               0.080727,               0.035052,               0.009963,               0.055478,               0.081988,              0.0019881,              0.0019881
                      7,               0.082446,                0.03951,               0.025968,               0.058466,                0.15191,                0.21443,                0.10912,               0.029652,                0.13935,                0.20096,                0.10794,               0.070871,               0.075139,               0.037803,               0.009985,               0.054271,               0.079284,              0.0022841,              0.0022841
                      8,               0.075437,               0.037782,               0.024903,               0.057258,                0.17034,                0.36533,                0.14412,               0.039433,                 0.1675,                0.35144,                0.14921,                0.10394,               0.071224,               0.032581,              0.0098066,               0.053993,               0.076579,              0.0025794,              0.0025794
                      9,               0.068415,                0.02968,               0.023847,                0.05613,                0.11754,                0.45714,                0.15692,               0.046815,                0.11325,                0.48174,                0.16521,                0.12872,               0.075508,               0.030227,              0.0094161,               0.054762,               0.073874,              0.0028742,              0.0028742
                     10,               0.066543,               0.029527,               0.024121,               0.054729,                0.13286,                0.50276,                0.16032,                 0.0704,                0.13726,                0.52756,                0.16778,                0.12164,               0.072332,               0.028692,               0.010614,               0.053876,               0.071168,              0.0031683,              0.0031683
                     11,                0.06202,               0.032342,               0.021959,               0.055008,               0.065221,                0.51647,                 0.1018,               0.033448,               0.096381,                0.56652,                0.17945,                0.12459,                0.08165,               0.028016,               0.010754,               0.053491,               0.068462,              0.0034619,              0.0034619
                     12,               0.057761,               0.027081,               0.020253,               0.053472,                0.11157,                0.34317,                0.15305,               0.050739,                0.12223,                 0.3689,                0.16434,                0.12475,               0.070661,               0.026473,               0.011667,               0.051601,               0.065755,              0.0037549,              0.0037549
                     13,               0.061144,               0.025407,               0.020337,                0.05556,                0.47507,                0.23631,                0.16094,               0.053052,                0.45804,                0.23929,                0.16932,                0.12158,               0.071298,               0.029161,               0.011278,               0.050468,               0.063047,              0.0040472,              0.0040472
