               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11654,            0.017562,            0.061385,           0.0013924,             0.39742,           0.0016932,          0.00030085,             0.11065,           0.0090599,             0.06006,              0.0982,              0.0002,              0.0002
                   1,             0.11354,             0.01962,            0.060082,            0.001434,             0.42242,           0.0020949,          0.00047647,             0.10722,            0.009202,            0.059344,              0.0955,          0.00049951,          0.00049951
                   2,             0.11105,            0.018722,            0.059436,           0.0017145,             0.49861,           0.0039491,           0.0010224,             0.10137,           0.0095568,            0.058522,            0.092798,          0.00079842,          0.00079842
                   3,             0.10287,            0.022133,            0.057583,           0.0023308,             0.66409,           0.0083077,           0.0024434,             0.09414,            0.010023,            0.057603,            0.090097,           0.0010967,           0.0010967
                   4,              0.0921,            0.023381,            0.058958,           0.0028842,             0.76111,            0.014022,           0.0041886,            0.084782,            0.010596,            0.056471,            0.087394,           0.0013945,           0.0013945
                   5,            0.087767,            0.025018,            0.057792,           0.0035072,             0.87857,            0.036248,            0.013448,            0.074022,             0.01072,            0.055489,            0.084692,           0.0016916,           0.0016916
                   6,            0.076556,            0.026601,            0.057999,           0.0034645,             0.89286,            0.048536,            0.017298,            0.067868,            0.010554,            0.054602,            0.081988,           0.0019881,           0.0019881
                   7,            0.077568,            0.024197,            0.056994,            0.019229,             0.90179,             0.10637,             0.03456,            0.065579,            0.010284,            0.053726,            0.079284,           0.0022841,           0.0022841
                   8,            0.069105,             0.02756,            0.055389,              0.1348,             0.36526,             0.15626,            0.056628,            0.066714,            0.010076,            0.053032,            0.076579,           0.0025794,           0.0025794
                   9,            0.064074,            0.024696,            0.054374,             0.13949,             0.46409,             0.16761,            0.060264,             0.06866,            0.010972,            0.053192,            0.073874,           0.0028742,           0.0028742
                  10,            0.061998,            0.024611,            0.055617,            0.089548,             0.47937,             0.13007,            0.038794,            0.075966,            0.011762,            0.054079,            0.071168,           0.0031683,           0.0031683
                  11,            0.063818,            0.023646,             0.05367,             0.13845,             0.42321,             0.17851,            0.076548,            0.072615,            0.012906,            0.054239,            0.068462,           0.0034619,           0.0034619
                  12,            0.059641,            0.023793,            0.054219,             0.11459,             0.40714,             0.18571,            0.080638,             0.06822,            0.012887,            0.054025,            0.065755,           0.0037549,           0.0037549
                  13,            0.055916,            0.024784,            0.053538,             0.12349,             0.47143,             0.18885,            0.086424,            0.061816,             0.01205,            0.052615,            0.063047,           0.0040472,           0.0040472
                  14,            0.057033,            0.022782,            0.054995,            0.082233,             0.50989,             0.12824,            0.045248,            0.073799,            0.010727,            0.051996,            0.060339,            0.004339,            0.004339
                  15,             0.05956,            0.021034,            0.054449,             0.12259,             0.52112,             0.15656,             0.05301,            0.066149,           0.0091908,            0.051067,             0.05763,           0.0046302,           0.0046302
                  16,            0.052938,            0.021487,            0.053075,            0.092101,             0.52381,             0.15756,            0.060984,             0.06295,           0.0084169,            0.050618,            0.054921,           0.0049208,           0.0049208
                  17,            0.052996,            0.021768,            0.051993,             0.12941,             0.55159,             0.17528,            0.059741,            0.060056,           0.0078788,            0.050383,            0.052211,           0.0052108,           0.0052108
                  18,            0.052576,            0.021145,            0.052284,             0.10798,              0.5748,             0.17024,            0.078205,            0.061872,           0.0070877,            0.050127,              0.0495,           0.0055002,           0.0055002
                  19,            0.047722,            0.021315,            0.051337,             0.10853,             0.71488,             0.16231,            0.065432,            0.063459,           0.0068963,            0.049657,            0.046789,            0.005789,            0.005789
                  20,            0.049123,            0.019916,            0.051659,             0.12431,             0.74563,             0.18655,            0.086958,            0.055345,           0.0061898,            0.049048,            0.044077,           0.0060772,           0.0060772
                  21,            0.049509,            0.018918,            0.053546,             0.11228,             0.72302,             0.17055,            0.087702,            0.062699,            0.005784,            0.048877,            0.041365,           0.0063649,           0.0063649
                  22,            0.049202,            0.017464,            0.052736,             0.11587,             0.75738,              0.1783,            0.065954,             0.06494,           0.0058646,            0.048354,            0.038652,           0.0066519,           0.0066519
                  23,            0.044961,            0.018733,            0.052872,             0.13279,             0.60714,              0.1844,            0.092953,            0.055059,           0.0055399,            0.048225,            0.035938,           0.0069383,           0.0069383
                  24,            0.046056,            0.018379,            0.053885,             0.13925,             0.54325,             0.19287,            0.099117,            0.054114,           0.0053542,            0.048257,            0.033224,           0.0072242,           0.0072242
                  25,             0.04773,            0.018904,             0.05217,             0.12726,             0.42925,             0.19684,             0.11343,            0.054678,           0.0052006,            0.048524,            0.030509,           0.0075094,           0.0075094
                  26,            0.048064,            0.019758,            0.053476,             0.12193,              0.4881,             0.19608,            0.093265,            0.058035,            0.005188,            0.048407,            0.027794,           0.0077941,           0.0077941
                  27,            0.042539,            0.018475,            0.051918,             0.14068,             0.46905,             0.18938,            0.095037,            0.056754,           0.0052898,            0.048119,            0.025078,           0.0080781,           0.0080781
                  28,            0.043096,            0.016045,            0.051451,             0.13416,             0.52008,             0.19925,            0.097023,            0.060044,           0.0052638,            0.047488,            0.022362,           0.0083616,           0.0083616
                  29,            0.045889,            0.018333,            0.051408,             0.11012,             0.58115,             0.17789,            0.069888,            0.062894,           0.0053315,            0.047211,            0.019644,           0.0086445,           0.0086445
                  30,            0.043456,            0.016527,            0.051954,             0.17686,             0.54206,             0.25254,             0.15537,            0.052626,           0.0052795,            0.047136,            0.016927,           0.0089268,           0.0089268
                  31,            0.045417,            0.016608,            0.051598,             0.16783,             0.53288,             0.24179,            0.082752,            0.060298,           0.0051367,            0.047392,            0.014208,           0.0092084,           0.0092084
                  32,            0.042717,            0.015703,            0.049392,             0.15534,             0.56726,             0.21416,             0.10901,            0.054927,           0.0050516,            0.047243,             0.01149,           0.0094895,           0.0094895
                  33,            0.043759,            0.018718,             0.05176,             0.10977,             0.66865,             0.20783,            0.080029,            0.061456,           0.0054734,            0.048781,           0.0096733,           0.0096733,           0.0096733
                  34,            0.041381,            0.014537,            0.053688,             0.13129,             0.66598,             0.19227,            0.088895,            0.060077,           0.0050094,            0.049176,           0.0096733,           0.0096733,           0.0096733
                  35,            0.041372,            0.013848,            0.050343,             0.11938,              0.5371,               0.186,             0.09209,            0.056622,           0.0055594,            0.048396,           0.0096634,           0.0096634,           0.0096634
                  36,            0.041068,             0.01574,            0.050068,             0.13487,             0.56647,             0.21004,             0.12524,            0.050312,           0.0056086,            0.046645,           0.0096535,           0.0096535,           0.0096535
